id,smiles
cpd00001,O
cpd00002,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00003,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
cpd00004,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
cpd00005,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
cpd00006,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
cpd00007,O=O
cpd00008,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00009,O=P([O-])([O-])O
cpd00010,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
cpd00011,O=C=O
cpd00012,O=P([O-])([O-])OP(=O)([O-])O
cpd00013,[NH4+]
cpd00014,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00015,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
cpd00016,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O
cpd00017,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00018,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00019,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
cpd00020,CC(=O)C(=O)[O-]
cpd00021,[Fe]
cpd00022,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00023,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
cpd00024,O=C([O-])CCC(=O)C(=O)[O-]
cpd00025,OO
cpd00026,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00027,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00028,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
cpd00029,CC(=O)[O-]
cpd00030,[Mn+2]
cpd00031,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00032,O=C([O-])CC(=O)C(=O)[O-]
cpd00033,[NH3+]CC(=O)[O-]
cpd00034,[Zn+2]
cpd00035,C[C@H]([NH3+])C(=O)[O-]
cpd00036,O=C([O-])CCC(=O)[O-]
cpd00037,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00038,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00039,[NH3+]CCCC[C@H]([NH3+])C(=O)[O-]
cpd00040,O=CC(=O)[O-]
cpd00041,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
cpd00042,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]
cpd00043,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00044,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
cpd00045,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
cpd00046,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
cpd00047,O=C[O-]
cpd00048,O=S(=O)([O-])[O-]
cpd00049,*C(=O)[O-]
cpd00050,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C
cpd00051,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
