EC,rxn_ID,reaction
3.2.1.52,rxn38348,(1) cpd00001[0] + (1) cpd27559[0] <=> (1) cpd03019[0] + (1) cpd27181[0]
1.3.8.-|1.3.99.3,rxn38349,(1) cpd27005[0] + (1) cpd28168[0] <=> (1) cpd26839[0] + (1) cpd27006[0]
2.5.1.82,rxn38340,(2) cpd00113[0] + (1) cpd00289[0] <=> (2) cpd00012[0] + (1) cpd00906[0]
3.2.1.22,rxn38341,(1) cpd00001[0] + (1) cpd01133[0] <=> (1) cpd00382[0] + (1) cpd00724[0]
3.2.1|3.2.1.-|3.2.1.22,rxn38342,(1) cpd00001[0] + (1) cpd00382[0] <=> (1) cpd00076[0] + (1) cpd00724[0]
2.7.1.1|2.7.1.4,rxn38343,(1) cpd00002[0] + (1) cpd27040[0] <=> (1) cpd00008[0] + (1) cpd19035[0]
2.7.1.1|2.7.1.4,rxn38344,(1) cpd00002[0] + (1) cpd30321[0] <=> (1) cpd00008[0] + (1) cpd19035[0]
1.14.13|1.14.13.-,rxn38345,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd14967[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd14537[0]
3.2.1.35,rxn38346,(1) cpd00001[0] + (1) cpd26950[0] <=> (1) cpd26952[0]
3.2.1.35,rxn38347,(1) cpd00001[0] + (1) cpd26723[0] <=> (1) cpd26722[0]
3.6.3.18,rxn18566,(1) cpd00001[0] + (1) cpd00002[0] + (1) cpd25113[1] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd25113[0]
1.1.1.71,rxn35965,(1) cpd00006[0] + (1) cpd25452[0] <=> (1) cpd00005[0] + (1) cpd06739[0]
1.1.1.71,rxn24039,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd24543[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd24544[0]
1.1.1.71,rxn24038,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd24543[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd24544[0]
1.1.1.71,rxn24037,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00156[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd24543[0]
